0,3,23,3,87,19,41,110,5,,14
1,13,7,134,76,18,31,68,,,
2,1,6,89,,97,69,13,1,46,84
3,10,1,11,107,1,17,60,328,,
4,1,192,1,64,5,32,119,,,
5,38,5,9,3,59,6,53,19,31,27
6,81,7,81,,53,57,,20,182,
7,1,44,16,19,1,52,15,11,7,3
8,155,64,7,5,79,19,66,,,
9,71,1,57,4,32,3,169,,,
10,12,3,127,1,20,2,14,3,4,300
11,52,,1,36,54,45,3,155,,
12,18,,4,1,1,163,5,,152,
13,136,103,7,158,,,,,,
14,14,109,24,32,31,223,,,,
15,36,,15,55,45,15,5,94,56,
16,5,9,15,21,13,40,,2,4,21
17,20,11,16,126,55,1,16,4,13,220
18,4,,3,3,127,1,3,268,,
19,,111,50,8,34,1,4,70,1,176
20,1,163,12,4,,,3,50,27,4
21,49,48,33,1,5,2,15,,134,13
22,34,30,7,1,97,166,,,,
23,4,6,5,,24,79,68,6,69,74
24,17,5,74,88,41,6,11,98,,
25,8,1,29,188,81,1,294,,,
26,1,103,178,43,48,,,,,
27,,44,95,5,7,60,56,,1,26
28,46,16,122,107,32,32,,,,
29,14,16,7,141,11,9,2,,21,46
30,1,,33,98,24,12,158,39,,
31,22,11,29,1,73,,3,28,28,23
32,39,11,1,28,25,36,2,1,12,121
33,4,6,11,43,9,35,19,,6,59
34,3,25,2,26,130,4,183,,,
35,15,4,69,,139,119,,,,
36,47,24,3,10,15,11,17,,,6
37,26,22,129,13,2,125,67,,,
38,38,31,200,,37,1,87,,,
39,5,88,,,30,15,96,221,,
40,5,5,11,3,15,52,1,3,1,1
41,14,107,11,24,4,11,78,105,,
42,18,14,102,4,64,19,5,43,1,6
43,17,10,39,16,69,53,,18,23,31
44,5,6,1,5,13,21,226,,,2
45,2,14,11,,16,7,51,95,45,6
46,52,7,29,13,159,7,31,1,88,
47,1,203,,1,4,4,31,,,2
48,21,51,3,12,40,1,4,8,32,9
49,58,,39,111,44,11,3,17,16,10
50,,220,,5,164,,,,,
51,22,2,15,33,27,6,,2,50,39
52,8,3,,3,7,5,31,14,,15
53,1,1,23,3,4,,78,20,12,38
54,18,35,24,5,6,24,7,144,2,3
55,5,45,94,12,1,4,10,64,1,57
56,8,2,11,,24,,10,,24,83
57,24,3,48,7,,101,37,466,,
58,43,84,25,64,6,52,,14,99,
59,8,9,,,42,26,12,1,404,
60,34,4,1,6,93,49,35,4,15,34
61,39,,62,7,,2,1,53,1,19
62,61,43,13,4,29,1,18,35,12,155
63,63,47,7,16,6,128,19,92,,
64,7,10,7,,4,2,13,55,7,86
65,4,1,41,25,17,3,20,119,16,403
66,11,43,,18,32,6,3,3,7,84
67,,6,2,26,,33,57,26,3,7
68,7,49,32,34,23,9,96,52,159,
69,1,10,8,102,47,113,19,8,28,
70,41,5,18,2,48,218,4,,,
71,16,9,82,86,7,10,3,8,92,268
72,35,,111,7,64,7,10,134,,
73,,,181,33,55,2,10,36,2,1
74,285,65,,,,,,,,
75,3,1,,6,23,58,16,5,,9
76,57,6,9,10,133,71,23,15,2,25
77,223,119,,,,,,,,
78,,10,78,2,107,,115,10,1,175
79,508,,,,,,,,,
80,126,24,5,1,9,16,12,4,10,5
81,4,2,,12,3,48,12,90,30,344
82,,1,22,30,14,54,46,36,12,32
83,15,29,178,2,3,38,,4,73,
84,24,3,4,51,187,54,5,22,,
85,107,5,19,95,69,42,,,,
86,16,175,20,6,23,19,18,,105,
87,38,60,4,9,,4,175,20,54,
88,13,132,10,24,52,13,26,12,,97
89,2,127,18,7,19,44,29,8,103,
90,8,3,27,,3,17,7,101,38,192
91,28,10,10,4,44,50,,2,34,139
92,157,45,87,2,22,10,5,5,267,
93,50,9,13,19,123,187,,,,
94,94,31,4,21,9,233,,,,
95,28,32,6,4,22,31,15,,24,5
96,4,44,25,4,7,3,204,30,1,9
97,17,38,19,61,66,11,8,41,25,7
98,12,1,7,429,,,,,,
99,4,,22,83,25,6,61,80,,14
100,2,7,1,31,6,16,160,38,219,
101,,5,29,17,12,126,10,17,18,23
102,155,1,14,1,13,16,9,164,,
103,105,21,1,14,16,10,40,4,132,
104,8,18,38,4,43,4,115,28,27,9
105,44,6,20,66,3,2,1,80,13,115
106,19,16,,154,35,,39,18,,33
107,,14,32,12,28,3,,36,44,187
108,49,77,65,88,98,,,,,
109,,25,174,,3,132,,,,
110,11,6,,50,17,23,126,28,218,
111,,12,3,38,3,,88,,41,1
112,,43,13,5,43,124,1,,123,
113,4,,3,17,11,24,5,1,5,30
114,108,25,21,5,21,23,25,5,1,11
115,6,2,47,2,89,45,3,80,11,16
116,,,193,41,28,17,13,6,124,
117,14,9,113,6,174,,,7,29,
118,93,15,9,159,4,6,2,40,1,7
119,53,6,7,1,33,1,16,18,60,39
120,118,33,33,,150,,,,,
121,21,2,11,34,1,193,27,1,30,
122,57,31,47,28,37,54,32,,15,350
123,32,186,6,3,11,21,4,134,,
124,21,7,46,11,10,4,9,24,69,3
125,14,10,3,17,34,,7,5,2,47
126,,17,89,44,8,36,15,57,1,
127,4,119,148,134,,,,,,
128,2,1,1,3,29,,18,20,36,1
129,33,17,113,5,16,70,1,102,,
130,30,11,14,7,,11,137,28,18,8
131,,45,,4,5,12,20,2,10,23
132,5,50,2,5,25,,22,38,201,
133,16,1,3,81,9,3,34,4,87,3
134,5,21,,2,3,30,16,,201,23
135,25,6,13,5,10,,12,79,3,146
136,2,118,1,19,3,98,2,43,31,2
137,1,,,11,8,1,17,77,120,138
138,6,13,10,14,8,45,86,5,,40
139,31,101,1,1,9,17,16,59,45,32
140,12,,58,273,,,,,,
141,60,8,81,10,6,7,82,3,11,58
142,114,197,14,1,,,73,,,
143,2,1,1,84,88,13,2,148,,
144,,50,3,83,16,63,49,11,128,
145,84,1,33,93,16,1,38,38,104,
146,1,138,8,1,,137,58,,,
147,8,4,93,64,1,19,65,3,73,1
148,92,123,31,79,1,8,,,,
149,16,11,7,1,145,58,1,1,36,25
